"","JDAY","P_mean","P_sd","P_max","P_min","P_med","P_mod","Tm_mean","Tm_sd","Tm_max","Tm_min","Tm_med","Tm_mod","Tmax_mean","Tmax_sd","Tmax_max","Tmax_min","Tmax_med","Tmax_mod","Tmin_mean","Tmin_sd","Tmin_max","Tmin_min","Tmin_med","Tmin_mod","RH_mean","RH_sd","RH_max","RH_min","RH_med","RH_mod","Qg_mean","Qg_sd","Qg_max","QG_min","Qg_med","Qg_mod","Wind_mean","Wind_sd","Wind_max","Wind_min","Wind_med","Wind_mod"
"204",204,1.46703740826667,2.9703547428566,15.20233452,0,0.1261710972,0,14.8614398148148,2.5746230753236,19.569,8.6575,15.103,14.4915,20.5708981481481,3.20583213551771,26.245,13.495,20.8025,24.783,9.15198148148148,3.18529623318018,14.281,-1.81900000000002,9.7165,11.761,80.3775471967435,9.44968155988006,98.3146964556121,51.8428367342926,81.9449152449891,79.2421759684556,13.670609583428,5.22153881607816,19.31665032,1.207480027536,15.33746196,10.78058952,1.97727046747224,0.608390054764933,4.34705657820758,1.12776429109283,1.85244286035358,1.39581918079734
"205",205,3.064568663,7.84657740973934,36.639416664,0,0.2935408896,0,14.8095046296296,2.91685853569694,20.386,6.5925,15.01425,18.1505,20.1093518518519,4.40839933083313,27.807,7.589,20.798,22.034,9.50965740740741,2.50680428487245,15.26,3.46499999999998,9.69450000000001,11.704,81.769153022528,10.5454379212547,99.1802869073291,45.2147248702893,83.1920387303867,88.4989646294616,12.9901455542078,5.88560984858899,19.6734456,0.711619212348,14.57012421,14.31500256,1.97959764844165,0.657344250803,4.52084152258837,0.760411616051473,1.81537768369757,1.71097854748999
"206",206,1.87034622606667,3.64295858521337,20.589062292,0,0.355768452,0,14.4788101851852,2.69788551567513,19.163,6.685,14.93775,12.1625,19.4468240740741,3.89921146073021,25.044,8.20999999999998,20.163,22.841,9.5107962962963,2.40714848467557,15.199,4.90899999999999,9.32400000000002,12.083,83.7165989012651,10.1950794186542,99.3540398303272,37.5345826489046,85.3351766140836,84.7834722658425,12.9129051764825,5.72276895284885,19.87830054,1.1325857425488,13.972312458702,17.82697608,1.93989505108853,0.427205431121053,3.45928154865851,0.983219873136545,1.87776084327198,2.13019900280307
"207",207,0.903129639533333,1.56979221242074,10.2413129544,0,0.2609255412,0,14.2840185185185,2.85269505539816,19.5895,6.7335,14.76925,17.8895,19.4703888888889,4.13971986237484,26.838,9.88499999999999,20.6455,22.517,9.09764814814815,2.75925350298498,15.447,2.16800000000001,9.1865,9.25200000000001,83.4450855453282,8.56832885048206,96.4717094413227,48.9200673442662,84.602875267764,84.5238675714059,13.8286835653045,5.46915010206014,20.07298224,2.6024067,16.01454384,16.7348223,1.95102211826205,0.506665344535781,3.41359930755631,0.953198898574039,1.90231765769766,2.43591126070785
"208",208,0.921042828733333,1.71500723644699,11.0910402,0,0.2214431712,0,14.5541666666667,2.27317941325796,19.5345,8.2125,14.94775,15.845,20.0723333333333,3.35834570423577,25.011,10.079,20.7805,19.27,9.036,2.49776475026443,14.743,4.27100000000002,9.06999999999999,12.328,82.3107727366078,8.33318526095638,98.099551381026,61.2058920646718,82.5752709667769,87.5230280287928,13.8204210564458,5.58963854030051,20.29972446,1.106549856,15.58319301,16.04260926,1.94156636322167,0.484685062798473,3.82095395294029,0.960988537658359,1.87885182146345,2.09609096577852
"209",209,0.880161978266667,2.34722270627696,12.32099208,0,0.0377654904,0,14.5451342592593,2.50193795877576,18.1665,7.71649999999999,14.81825,14.236,20.6038240740741,3.64579306098511,26.218,8.81,21.3925,20.45,8.48644444444444,2.82364649018917,13.815,0.0779999999999745,8.814,10.222,80.580227993933,7.77214733391742,97.4799414044472,65.7031395829732,80.4234450308243,81.2523249255721,15.507785447627,5.27818791425568,20.27418696,1.229569272,17.92417401,19.24784676,1.81407136206477,0.481823004424876,3.34473835556383,0.964148857088129,1.73792921564455,1.35794576887123
"210",210,0.743277902866667,1.4702182183953,6.978033468,0,0.0617980968,0,14.9166435185185,2.23494226446045,20.057,10.4985,15.12375,14.915,21.2058240740741,3.3024376095579,27.296,12.423,21.896,23.402,8.62746296296297,2.77539312842469,13.851,2.95400000000001,9.05599999999998,10.202,79.6427467517254,8.04637365462557,97.4100684842573,59.7913552865726,78.4295735151298,82.6364481829308,15.4811747047246,4.91499397546833,20.63874618,1.741106484,16.96514481,18.82980684,1.90617697943642,0.471595432472179,3.41362000988066,0.886673327744761,1.7924700894541,1.24585876223561
"211",211,0.7536490032,1.47357292241478,6.682775364,0,0.1107216036,0,15.1884537037037,1.89984255685235,18.9565,9.71550000000001,15.41,17.1205,20.9487222222222,2.63501285117487,26.129,13.611,21.122,23.727,9.42818518518519,2.64537959803927,15.025,3.07600000000002,9.4075,10.291,80.429385649443,8.15457021377141,95.6294048149696,56.3211199602315,80.9195156769246,76.7259888117795,15.0624522145747,5.28750029656431,20.78544834,3.0143799,17.39441106,19.54529298,1.97012563670043,0.445250849403902,3.15766839102418,0.937768607647925,1.96701256231283,1.73131997864283
"212",212,1.74196587513333,5.62356425397185,36.87458076,0,0.0600814584,0,15.4457268518519,2.14615067755448,19.268,10.144,15.95,17.052,21.4019722222222,3.27407124152,27.503,12.939,21.879,19.446,9.48948148148148,2.20757058282596,15.12,4.37900000000002,9.584,9.47300000000001,79.6097102314404,8.67387191970199,97.1000192842075,59.1509114345394,79.3124681732235,77.4571122681836,16.4208031951729,4.95306388098961,20.77722342,1.057838004,18.82892934,19.67484258,1.99339499746755,0.406741368364533,2.93761497533901,1.00204360195199,1.92499932309198,1.75992038556204
"213",213,0.814565994377143,2.1373042969807,17.554094136,0,0.085830732,0,15.591419047619,2.1894169063973,19.619,9.674,15.9715,16.7465,21.5594285714286,2.90780769539641,26.122,12.893,22.049,24.35,9.62340952380953,2.91644809227053,14.638,1.86399999999998,10.095,9.14299999999997,79.4879330534786,7.58095869376372,95.1951753215951,63.6321158520755,80.5489556721787,81.0960642498313,15.7594112060692,4.90336891381393,20.9121201,2.9922183,17.880867,19.47217626,1.94642469593706,0.626985312054728,3.90347294826317,1.05968501028832,1.78566372861808,1.91646150825815
